No.,Object Name,RA-s,Dec-s,RA,Dec,Redshift (z),cz,z flag,Phys Type,EM Region,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
33,ESO 431- G 016,08h34m09.1243s,-30d05m24.596s,128.538018,-30.0901658,0.00935999956,2806.05727497132,SUN,G,"IR,Radio",15,1,28,8,3,3,4,8,2,0
34,ESO 497- G 015,09h08m14.2344s,-26d10m06.031s,137.0593103,-26.168342,0.01952,5851.94878016,PUN,G,IR,6,1,32,5,1,14,0,3,3,0
35,MRK 0019,09h16m43.9175s,+59d46m28.961s,139.1829899,59.7747116,0.013774178,4129.39467954952,SLS,G,"IR,UV,Vis",77,3,100,19,14,14,0,3,7,3
36,UGCA 154,09h16m45.5234s,+53d26m34.609s,139.189681,53.442947,0.0074648373,2237.90192273708,SLS,G,"IR,UV,Vis,Xray",81,3,75,21,21,13,1,6,2,1
37,IC 2450,09h17m05.2971s,+25d25m44.287s,139.2720716,25.4289686,0.00551047885267347,1652.0,SLS,G,"IR,Radio,UV,Vis",88,1,84,38,30,15,0,4,8,4
38,UGC 05004,09h24m34.0008s,+34d39m34.178s,141.14167,34.659494,0.006128,1837.128182624,SUN,G,"IR,UV,Vis",54,0,49,19,13,13,0,9,10,4
39,UGCA 184,09h49m30.2814s,+55d34m47.291s,147.3761728,55.5798031,0.005252107,1574.54206720901,SLS,G,"IR,Vis",98,7,105,25,20,12,1,10,5,1
40,NGC 3049,09h54m49.5648s,+09d16m15.940s,148.70652,9.2710945,0.0049647679929293,1488.4,MUN,G,"IR,Radio,UV,Vis",342,9,259,65,51,15,11,24,79,16
41,UGC 05342,09h56m42.4917s,+15d38m12.422s,149.177049,15.636784,0.015219557,4562.70840270111,SLS,G,"IR,Vis",85,6,44,24,22,9,0,10,1,5
42,ESO 263- G 013,10h09m48.1945s,-42d48m40.455s,152.4508104,-42.8112375,0.0345372264168167,10354.0,SLS,G,"Gamma,IR,Radio,Xray",110,3,93,28,34,16,0,4,13,1
43,NGC 3217,10h23m32.6056s,+10d57m35.034s,155.8858567,10.9597318,0.03190522,9564.94432683076,SLS,G,"IR,Radio,UV,Vis",62,1,78,20,22,11,0,4,3,4
44,UGC 05692,10h30m35.0300s,+70d37m07.200s,157.64595833333,70.61866666667,0.000186999998,56.0611890464151,SUN,G,IR,134,4,38,32,15,5,7,16,24,0
45,NGC 3353,10h45m22.2960s,+55d57m39.240s,161.3429,55.9609,0.00313883813581461,941.0,SLS,G,"IR,Radio,UV,Vis",364,12,217,61,45,16,4,26,40,5
46,UGCA 219,10h49m05.0216s,+52d20m07.220s,162.2709234,52.335339,0.007889177,2365.11576442707,SLS,G,"IR,Radio,UV,Vis",108,3,160,34,20,12,1,4,31,5
47,MRK 1263,10h48m56.8502s,+12d11m42.082s,162.236876,12.195023,0.004413,1322.984117154,UUN,G,"IR,Radio,UV",49,1,50,20,17,6,1,7,2,3
48,CGCG 333-066,10h59m04.9737s,+72d38m00.574s,164.770724,72.6334929,0.026749,8019.148459042,SUN,G,"IR,UV",10,1,36,7,5,2,0,4,1,0
49,UGC 06206,11h09m49.3005s,+12d46m17.180s,167.455419,12.771439,0.04261127,12774.5373718017,SLS,G,"IR,Radio,UV,Vis",58,0,37,17,20,7,0,4,1,4
50,IC 0676,11h12m39.7982s,+09d03m21.099s,168.165826,9.055861,0.00470992502419791,1412.0,SLS,G,"IR,Radio,UV,Vis",166,1,95,44,36,15,1,6,12,6
51,NGC 3663,11h23m59.9333s,-12d17m47.668s,170.9997221,-12.2965747,0.016725,5014.02886005,S1L,G,"IR,Radio",106,1,43,19,22,6,29,28,2,4
52,MRK 1294,11h26m08.6527s,-05d35m08.434s,171.5360533,-5.5856763,0.00922300015,2764.98588510287,S1L,G,"IR,Radio,UV",37,0,37,16,11,3,0,1,1,3
53,MRK 0423,11h26m48.5166s,+35d15m02.644s,171.7021526,35.2507345,0.0322679989,9673.70270497229,SUN,G,"IR,Radio,Xray",154,4,94,25,38,14,0,3,6,0
54,MRK 0180,11h36m26.4084s,+70d09m27.307s,174.110035179167,70.1575854158333,0.045,13490.66061,SUN,G,"Gamma,IR,Radio,UV,Vis,Xray",375,8,102,61,80,2,2,6,5,0
55,NGC 3758,11h36m29.3346s,+21d35m45.997s,174.1222275,21.5961104,0.0297705954964351,8925.00000000001,UUN,G,"IR,Radio,UV,Xray",152,2,42,18,22,3,0,3,4,6
56,NGC 3773,11h38m12.9100s,+12d06m43.783s,174.553792,12.112162,0.0032796646,983.218711849587,SLS,G,"IR,Radio,UV,Vis",239,4,201,61,40,10,2,21,68,14
